x,y,topic,description,category
-1.8536983,-5.451384,1,Police set up a taskforce to investigate 69-year-old Kimberley McRae's death after the sex worker's body was found in her Coogee home on Tuesday.,general
-2.8313105,-0.006363999,4,"LUMPKIN, Ga. (AP) — In a locked, guarded courtroom in a compound surrounded by razor wire, Immigration Judge Jerome Rothschild waits -- and stalls.A Spanish interpreter is running late...",general
6.6364527,-6.782741,3,WASHINGTON (AP) — The U.S. Senate opened the impeachment trial of President Donald Trump with quiet ceremony Thursday — senators standing at their desks to swear an oath of “impartial justice” as...,general
3.2131221,0.3943298,2,"TEHRAN, Iran (AP) — Iran's supreme leader said President Donald Trump is a ""clown"" who only pretends to support the Iranian people but will “push a poisonous dagger” into their backs, as he struck...",general
-1.8565012,-5.467271,1,WASHINGTON (AP) — Selfies on a “Women for Trump” bus tour through Iowa. Volunteer training at a “Black Voices for Trump” organizing session in Philadelphia. A vice presidential headliner at a...,general
-1.4604797,5.678154,0,"LONDON (AP) — Prince Charles, the future king, has long been seen as a potential modernizer who wants a more modest monarchy in line with other European royal households — and the streamlining...",general
6.6059403,-6.715975,3,"WITTENBERG, Germany (AP) — High on the wall of a German church where Martin Luther once preached, an ugly remnant of centuries of anti-Semitism is now at the center of a court battle.The...",general
6.64128,-6.7990613,3,"TAGAYTAY, Philippines (AP) — An erupting Philippine volcano remains life threatening despite weaker emissions and fewer tremors, an official said Friday and advised thousands of displaced...",general
-2.8265007,-0.026666861,4,"BEIJING (AP) — As the Lunar New Year approaches, Chinese travelers flocked to train stations and airports Friday to take part in a nationwide ritual: the world's biggest annual human...",general
-1.481941,5.744941,0,Cleveland Browns wide receiver Odell Beckham Jr is subject to an arrest warrant from New Orleans police on a charge of alleged simple battery.,sports
-1.854367,-5.455169,1,"Margaret Court was a quiet champion, unrivalled in sport but shy in public. Now she is at the centre of a polemic set to play out its latest chapter.",sports
-1.4833661,5.776202,0,South Africa pace bowler Kagiso Rabada is banned for the final Test of the series against England following his celebration of Joe Root's dismissal on the first day of the third Test.,sports
-2.8244357,-0.026835063,4,"Conor McGregor says he is in a ""better place"" than he was a few years ago as he prepares to make his UFC comeback against Donald Cerrone on Saturday.",sports
6.10345,-6.534319,3,"Watford are a side reborn under Nigel Pearson, but how has he led them from six points adrift to a point above the relegation zone in a month?",sports
-2.8544195,-0.019949734,4,Carlos Sainz finishes comfortably ahead of defending champion Nasser al-Attiyah to claim his third Dakar Rally title in Saudi Arabia as Fernando Alonso finishes 13th,sports
-1.1266956,5.8192525,0,"Anchor Wolf Blitzer said on Thursday's broadcast of CNN's ""Situation Room"" that Sen. Martha McSally (R-AZ) calling CNN senior congressional correspondent | Clips",general
-2.82434,-0.027147735,4,Both Lev Parnas and Michael Cohen have described their fanatical devotion to President Donald Trump as resembling a cult. That has its drawbacks.,business
-1.8532854,-5.446877,1,FAA investigators are looking into why the Delta flight crew dumped fuel even though they told air traffic control at LAX that they wouldn't.,business
3.21039,0.3942041,2,A top-rated tech and green energy investor explains how he melds a focus on current company fundamentals with an eye on the trends shaping the future.,business
-1.2894354,5.5767775,0,"The virus, which causes pneumonia-like symptoms and is in the same family as SARS, has killed a second person and spread to Thailand and Japan.",business
-1.853713,-5.451565,1,"Will Eagle got advice from Bad Lip Reading, How to Cake It and others on becoming 'YouTube famous'. He shared his best tips on going viral with us.",business
3.2094126,0.3939914,2,"Texas-based Pinnacle Logistics plans to lay off 1,609 workers based at Baltimore-Washington International airport, Business Insider has learned.",business
-1.8523272,-5.441113,1,"General Mills, the company behind brands like Cheerios and Yoplait, is part of a $32 million investment into a line of plant-based seafood products.",business
6.0888224,-6.540663,3,The call was part of a broad effort from Trump and his allies to push Ukraine to start investigations that would help his 2020 reelection campaign.,business
3.2077305,0.39361155,2,"Interim CEO Robert Fisher said the process of spinning off Old Navy shone a ""bright light on operational inefficiencies and areas for improvement.""",business
6.015798,-6.844394,3,"Beijing would want to stabilize its economy, boost market confidence, and have tariffs reduced, said Eleanor Olcott, China policy analyst at TS Lombard.",business
6.3603883,-6.538096,3,Picking the right credit card all depends on your spending habits. Take CNBC Select's quick quiz to find the best credit card for your needs.,business
6.5582237,-7.3246536,3,"Ninety-nine US senators were sworn in Thursday and, with their right hands raised, pledged to do ""impartial justice"" in the impeachment trial of Donald John Trump. (The 100th, Oklahoma's James Inhofe, was back home dealing with a family medical issue and will be sworn in next week.)",general
3.205662,0.3938818,2,A Republican Party leader in Delaware has been kicked out of office after making a comment on Facebook that her colleagues called anti-Semitic.,general
-1.3278819,6.0093718,0,"Vice President Mike Pence urged Senate Democrats to break ranks and ""stand up against"" the articles of impeachment in a Wall Street Journal op-ed comparing the Senate trial of President Donald Trump to President Andrew Johnson's impeachment trial in 1868.",general
3.2104516,0.39350882,2,Several US service members were injured during last week's Iranian missile attack on Al-Asad airbase in Iraq despite the Pentagon initially saying that no casualties had taken place.,general
3.3075037,0.403956,2,Secretary of State Mike Pompeo has maintained a persistent silence as stunning new evidence has emerged suggesting the former ambassador to Ukraine may have been illegally surveilled before she was forced out of her job by President Donald Trump.,general
6.1169767,-6.525164,3,"The Berlin branch of Madame Tussauds unveiled a new Nicki Minaj wax figure ... but it looks nothing like the ""Anaconda"" rapper. Click for more.",entertainment
-1.2891017,5.5817723,0,"On 'The Howard Stern Show,' Alec Baldwin shared his emotional reaction to Martin Scorsese's 'The Irishman': 'We're never gonna see these guys do this again.'",entertainment
-1.8551141,-5.4589996,1,'Supernatural' star Jared Padalecki responded to the 'Star Wars' actor that was his character's inspiration — and show creator Eric Kripke had the best reaction.,entertainment
6.19048,-7.1406207,3,"Rob Lowe not only costars alongside Liv Tyler in '9-1-1: Lone Star,' but owes her dad, Steven Tyler, a huge debt of gratitude for a tough time in his life.",entertainment
6.017114,-6.8494997,3,"Netflix's new docuseries 'Killer Inside' shares new information about former NFL star Aaron Hernandez, who was convicted of murder in 2013 and died by suicide four years later.",entertainment
3.2118773,0.39428884,2,"Major League Baseball said Thursday that its investigation into stealing signs found no evidence that any Astros players wore electronic devices that would have notified them of certain pitches, including during the 2019 season.",sports
6.543252,-6.6339746,3,"Fabrizio Pasqua will officiate Napoli-Fiorentina this weekend, while Piero Giacomelli is assigned to Lecce-Inter and Marco Di Bello has Juventus-Parma.",sports
-2.8253226,-0.025639411,4,Atalanta have announced that they&rsquo;ve taken up their option to sign Duvan Zapata on a permanent basis from Sampdoria for a total &euro;26m.,sports
-1.8532825,-5.4468503,1,"Messages between Leonardo Bonucci and a leading Juventus ultra were published, showing how he tried to smooth over his return with fans and teammates.",sports
-2.826172,-0.02615929,4,Hellas Verona defender Amir Rrahmani is undergoing his Napoli medical this morning and will join the club from July in a deal worth &euro;14m.,sports
-1.8544122,-5.455135,1,"Ashley Young is expected in Milan today for his Inter medical, after reports he stormed out of Manchester United training to force through the move.",sports
3.2090456,0.3940871,2,The servicemembers were treated for concussion symptoms after Iranian missiles hit air bases in Iraq last week. President Trump had said that “no Americans were harmed.”,general
3.3078592,0.40404847,2,"Tucker Carlson spent much of his monologue Thursday slamming CNN for their handling of the sexism controversy between Sens. Bernie Sanders, I-Vt., and Elizabeth Warren, D-Mass. after the candidates were caught arguing on a hot mic following Tuesday's Iowa debate.",general
-2.8263807,-0.02510298,4,A South Carolina woman who was accused of killing her husband with eye drops pleaded guilty to manslaughter and was sentenced to 25 years in prison Thursday.,general
3.2104032,0.3941563,2,"The European Union is considering banning facial recognition technology in public areas for up to five years, to give it time to work out how to prevent abuses, according to proposals seen by Reuters.",technology
-1.4220847,5.6316643,0,"Scientists are finding that galaxies can move with each other across huge distances, and against the predictions of basic cosmological models. The reason why could change everything we think we know about the universe.",technology
-1.8840667,-5.626616,1,"Hyundai Motor Company and Uber Elevate showed us a fairly complete urban air mobility (UAM) electric vertical takeoff & landing (eVTOL) concept vehicle, autonomous pods, and a hub ecosystem that fits with Uber Elevate’s air taxi model at the Consumer Electronics Show (CES)",technology
5.932303,-6.375359,3,Looking for the next level gaming? We've picked out the best 4K gaming monitors that will give you the sharpest picture you've ever experienced.,entertainment
-1.2786227,5.567449,0,"You've been thinking about using a cloud backup service, but don't want to hassle with the research. Good news; we've done it for you, and here's our picks for the very best.",entertainment
3.2119322,0.39402086,2,"There’s nothing new under the sun in lowest-common-denominator telly, says Fiona Sturges, which is why the series stands as a hallucinatory collision of The X Factor, Crackerjack! and BDSM-influenced performance art",general
6.0492268,-6.948498,3,Representatives for the multinational International Coordination and Response Group set out a five-point framework for cooperation with Iran to investigate the destruction of a passenger jet near...,general
-1.1268672,5.8209944,0,"Following a rainy Thursday afternoon practice in Santa Clara, Calif., George Kittle made one thing clear: his ankle injury will not keep him out of Sunday's NFC Championship Game against the Packers.",sports
6.6051674,-6.7147145,3,Tennessee Titans RB Derrick Henry made NFL history last week as he bulldozered the Ravens in the Divisional Round for 195 rushing yards. Will he do the same against a struggling Chiefs run defense?,sports
6.660697,-6.877595,3,Former NFL head coaches Ben McAdoo and Mike McCoy are interviewing for coaching positions with the Panthers. Matt Rhule is looking to add coaches with head coaching experience to his staff.,sports
-1.8565947,-5.4645944,1,The Chiefs hope defensive tackle Chris Jones will be on the field when they take on the Titans Sunday. Jones is dealing with a calf injury that had him sidelined during last weeks game against the Texans.,sports
3.2105293,0.39420643,2,"During Saturday's victory over the Baltimore Ravens, Tennessee Titans coach Mike Vrabel was accidentally hit by a sideline judge. Vrabel is adamant that he didn't get knocked down.",sports
-1.1289514,5.8304634,0,New Orleans police issued an arrest warrant Thursday for Cleveland Browns wide receiver Odell Beckham stemming from his interaction with a police officer in the LSU locker room in the Superdome following Monday's national title game.,sports
-1.4818336,5.7464747,0,San Francisco 49ers fullback Kyle Juszczyk believes there's nothing that will hold back tight end George Kittle from playing vs. the Green Bay Packers this weekend.,sports
-2.8540795,-0.018480519,4,Northern California native Aaron Rodgers will face his former favorite team on Sunday as the Packers face the 49ers for the second time this season as he vies for a second Super Bowl berth.,sports
6.584452,-7.295642,3,"The Bengals coaching staff spoke glowingly about LSU QB Joe Burrow, who led his team to a national championship earlier this week. The Bengals hold the No.1 pick in 2020 NFL Draft.",sports
-1.1823881,5.6333747,0,Skyrim is coming to The Elder Scrolls Online starting this May on PC and Mac. PS4 and Xbox One players will get the new content by June. Watch the new trailer here.,entertainment
6.6582866,-6.861622,3,"The Overwatch League’s third season will begin on Feb. 8 in New York City. Ahead of the start, developer Blizzard Entertainment will release a skin commemorating last year’s dreaded GOATS meta.",entertainment
3.2131772,0.39415655,2,"One hundred percent of proceeds from the new charity Humble Bundle, which includes games developed by Australian studios that made Hollow Knight and Void Bastards, will be donated to Australian wildlife charities.",entertainment
-1.1264507,5.8184233,0,"Cyberpunk 2077 will get multiplayer, but it likely won’t be available until after 2021. CD Projekt Red updated the release window today during an investor call, following the delay of the single-player game from April into September.",entertainment
5.647833,-5.699475,3,"The Australian wildfires are devastating the country’s residents, their homes, and the country’s animals. Destiny 2 developer Bungie is now offering a charity shirt on their store, with 100% of the profits going to Australian wildfire relief efforts.",entertainment
3.305179,0.4038561,2,"The latest video from Mark Brown of Game Maker’s Toolkit discusses the two types of randomness: input and output randomness, why it drives players crazy, and what’s really going on behind the screen when the dice are rolled.",entertainment
-2.8267062,-0.025408944,4,A new report from Kotaku said PS4 exclusive Horizon Zero Dawn will be released on Windows PC this year. Horizon Zero Dawn was released in 2017 from developer Guerrilla Games.,entertainment
-2.8257835,-0.025299778,4,The Year of the Rat begins in Overwatch with Lunar New Year 2020. Blizzard has revealed all-new skins and a new arcade game mode for the annual Overwatch event.,entertainment
-1.855666,-5.4621243,1,"The Devil May Cry 3’s Special Edition for Switch comes with a new style swapping system on the go. Instead of swapping at mid-mission statues or before the mission starts, you can switch weapons whenever you want.",entertainment
-1.3768399,5.982042,0,"Cyberpunk 2077 has been pushed back, with a new launch date of Sept. 17, 2020. Previously CD Projekt Red had promised April 16; now it says it needs more time for polish. The game is in development on PlayStation 4, Windows PC, and Xbox One, as well as Google Stadia.",entertainment
-1.8847,-5.616497,1,A national survey released Thursday found U.S. Sen. Susan Collins of Maine had the highest disapproval rating of any senator in 2019’s last quarter as she enters a campaign for a fifth term in which she is one of national Democrats’ top targets.,general
6.145699,-7.094707,3,"Intense thunderstorms with heavy rains dampened bushfires on Australia's east coast on Friday to the relief of exhausted firefighters, and farmers battling years of drought.",general
-1.8839347,-5.624975,1,"Temasek Holdings and Trustbridge Partners have held talks with WeWork China over increasing their stake in the China branch of the troubled co-working startup to take majority ownership, three people familiar with the matter told Reuters.",general
-2.8547504,-0.020164523,4,"China's economic growth cooled to its weakest in nearly 30 years in 2019 amid a bruising trade war with the United States, and more stimulus is expected this year as Beijing tries to boost sluggish investment and demand.",general
6.642606,-6.7935095,3,"As Google-parent Alphabet Inc became on Thursday the fourth U.S. company to top a market value of more than $1 trillion, some funds holding its shares are wondering whether now is the time to cash in on the stock's extraordinary gains.",general
3.2149208,0.39351374,2,"Supreme Leader Ayatollah Ali Khamenei said in a Friday prayers sermon that Iran's missile strikes on U.S. targets in Iraq showed it had divine support in delivering a ""slap on the face"" to a world power.",general
-1.8838677,-5.6246247,1,"Iran's supreme leader called on Friday for national unity and a high turnout in a February election, after protests erupted following the military's admission that it had shot down an airliner by mistake during a confrontation with the United States.",general
6.671881,-7.3142247,3,"Indian Prime Minister Narendra Modi's ruling party on Friday slammed editorial policies of billionaire Jeff Bezos-owned Washington Post, even as his e-commerce firm Amazon announced plans to create a million jobs in the country by 2025.",general
3.3076277,0.40401888,2,"Iranian Supreme Leader Ayatollah Ali Khamenei said on Friday that three European states who were party to a nuclear pact from which the United States has already withdrawn could not be trusted, and their actions to put pressure on Iran would not work.",general
6.642991,-7.3297505,3,"Xiaomi said today it is spinning off POCO, a sub-brand it created in 2018, as a standalone brand that will now run independently of the Chinese electronics giant and make its own market strategy. Manu Kumar Jain, VP of Xiaomi, said Poco has grown into its own identity in a short span of time. &#822…",technology
-1.8839797,-5.6252685,1,"Funnel, the Stockholm-based startup that offers technology to help businesses prepare — or make “business-ready” — their marketing data for better reporting and analysis, has closed $47 million in Series B funding. Leading the round is Eight Roads Ventures, and F-Prime Capit…",technology
-1.3281679,6.0090346,0,"The future of transportation industry is bursting at the seams with startups aiming to bring everything from flying cars and autonomous vehicles to delivery bots and even more efficient freight to roads. One investor who is right at the center of this is Reilly Brennan, founding general partner of …",technology
-1.8839442,-5.624957,1,"SpinLaunch, a company that aims to turn the launch industry on its head with a wild new concept for getting to orbit, has raised a $35M round B to continue its quest. The team has yet to demonstrate their kinetic launch system, but this year will be the year that changes, they claim.",technology
-2.8544815,-0.019941557,4,"When Intuit acquired Mint more than a decade ago, mobile was in a different place — as were tech-enabled financial services. There hasn’t been much progress for the personal finance tracker app category in the meantime. Mint has stumbled along with with integration issues and tiresome d…",technology
3.308066,0.40407553,2,"Foxconn Technology Group, the Taiwanese electronics giant best known for its iPhone manufacturing contract, is forming a joint venture with Fiat Chrysler Automobiles to build electric vehicles in China. The joint venture was disclosed in a regulatory filing. Nikkei was first to report the joint ven…",technology
6.705639,-7.3106465,3,"When Visa bought Plaid this week for $5.3 billion, a figure that was twice its private valuation, it was a clear signal that traditional financial services companies are looking for ways to modernize their approach to business. With Plaid, Visa picks up a modern set of developer APIs that work behi…",technology
6.5624905,-7.3629036,3,"Alphabet this afternoon became the fourth tech giant to join the highly exclusive trillion-dollar club, one whose original member, Apple, saw its market cap soar past $1 trillion for the first time in August 2018 and that has since welcomed — and pushed back out — Amazon, which passed t…",technology
-2.8544452,-0.02014384,4,"Try as they might, even the most advanced roboticists on Earth struggle to recreate the effortless elegance and efficiency with which birds fly through the air. The ""PigeonBot"" from Stanford researchers takes a step towards changing that by investigating and demonstrating the unique qualities of fe…",technology
-1.3282019,6.0088444,0,"NBCUniversal officially unveiled its new streaming service Peacock today, announcing that the service will be available as part of a bundle for Comcast’s Xfinity X1 and Flex customers on April 15, before launching nationally on July 15. The company had announced its plans to enter the streami…",technology
-2.8277283,-0.025582112,4,"A bench of justices Manmohan and Sangeeta Dhingra Sehgal allowed Sengar to deposit in 60 days the fine amount of ₹25 lakh, out of which ₹10 lakh will be released to the rape survivor without any condition.",general
-1.2856023,5.5818176,0,"Members petitioned the Commissioner of Police in Coimbatore, asking for a case to be registered against the actor for his alleged recent remarks insulting Periyar",general
-1.8555799,-5.454606,1,"Robert Blair, Mulvaney's senior national security adviser, was on Trump's call with the president of Ukraine that prompted the whistleblower complaint.",general
6.0544806,-6.4842925,3,James and Michelle Butler had been traveling the country in their RV when they vanished last month. Their deaths are being investigated as homicides.,general
-2.8235323,-0.027171552,4,"I like to think that somewhere inside the bureaucratic labyrinth of Apple's employee structure, there's a single person with the world's greatest job. Each year, they only have to do ...",technology
-1.4763275,5.7172227,0,"Subscribe to this bi-weekly newsletter here!

Welcome to the latest edition of Pardon The Intrusion, TNW’s bi-weekly newsletter in which we explore the wild world of security.

We're ...",technology
-1.857317,-5.464635,1,"Every few days, China finds a new way to introduce facial recognition in people's daily lives. According to a report from the South China Morning Post, Shanghai is testing terminals ...",technology
6.2722197,-6.505641,3,"At last: Google's parent company, Alphabet, is now the fourth company in the US As to attain a market value of more than $1 trillion, after Apple, Amazon, and Microsoft.

The company ...",technology
-1.3281119,6.0081797,0,"Good news! Facebook is dropping plans of showing ads on popular chat app WhatsApp. According to a report by the Wall Street Journal, WhatsApp disbanded the team working on integrating ...",technology
-1.483047,5.7783484,0,India News: President Ram Nath Kovind on Friday rejected the mercy petition of one of the convicts in the Nirbhaya gang-rape and murder case. The Union home minis,general
6.5314646,-6.624088,3,India News: Russian deputy chief of mission Roman Babushkin on Friday said all S-400 air defence missile systems will be delivered to India by 2025. The productio,general
6.0531616,-6.95753,3,BJP and actor Pawan Kalyan's Jana Sena have decided to forge a new political front in Andhra Pradesh. Both parties have come to an agreement to fight,general
-1.1393154,5.687545,0,"India News: Rahul Gandhi on Friday alleged that the best way to ""silence"" J&K DSP Davinder Singh was to hand the investigations against him to NIA chief Y C M",general
-2.8252351,-0.025679203,4,"India News: In a first satellite launch of this year, Indian Space Research Organisation’s communication satellite Gsat-30 was successfully launched by European s",general
6.190184,-7.1423836,3,Armslist is one of the easiest ways to buy a gun online. But an investigation from The Verge in collaboration with The Trace reveals hundreds of users who may be skirting the law through high-volume sales.,technology
-1.8541578,-5.4515986,1,"New renders from Evan “Evleaks” Blass give us our best look yet at Huawei’s next flagship phone. This is the P40 Pro, according to Blass, who says that the phone will make use of ceramic in its build.",technology
-1.1238139,5.7324634,0,"Comcast and NBCUniversal gave a first look at its Peacock streaming service at an investors day in New York. The interface includes three main hubs: channels, browse, and a trending section.",technology
3.3077435,0.40394118,2,"If you weren’t convinced we live in a new era for Microsoft’s consumer-facing software, the one-two punch of Windows 7 closing down and the new Chromium-based version of Edge officially launching ought to do it for you.  Microsoft’s new Edge Chromium browser is out now for both Windows and macOS .",technology
-1.8838712,-5.62466,1,"In a Nintendo Direct presentation today, director Masahiro Sakurai revealed that the next character coming to Super Smash Bros. Ultimate on the Nintendo Switch would be Byleth from Fire Emblem: Three Houses.",technology
-1.1209056,5.792569,0,Open-world role-playing game Cyberpunk 2077 is being delayed from April 16th to September 17th. Developer CD Projekt Red said the change was necessary to add more polish to the massive game.,technology
6.052129,-6.955217,3,"As part of its efforts to address climate change, Microsoft plans to be carbon negative by 2030. To achieve that, it will slash emissions and remove carbon dioxide from the environment.",technology
-2.8235912,-0.027138216,4,"Frequently a battleground for warring forces, hashtags are starting to look dated. And as  this week’s #NeverWarren controversy showed, they can also be misleading",technology
3.2094269,0.39407122,2,"BT has partnered with Google in the UK to bundle Stadia Premiere Edition with broadband deals. It’s a first for Europe, and BT is the biggest ISP in the UK.",technology
6.096875,-7.037726,3,"Attorney general’s earlier service, telecom experience shaped his views; some bureau officials were stunned by his rebuke of Apple over Pensacola shooter’s iPhones",business
